,id,song,album,singers,genres,popularity,decade,thumbnail,singers_list,genres_list
0,1tqysapcCh1lWEAc9dIFpa,Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,"['Jubin Nautiyal', 'Meet Bros.', 'Shardul Rathod']","['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",74,20,https://i.scdn.co/image/ab6761610000e5eb1a9d9cfc59b01338c0786953,"['Jubin Nautiyal', ' Meet Bros', ' Shardul Rathod']","['desi pop', ' filmi', ' hare krishna', ' modern bollywood']"
1,4mRPyvdSBxARQIFeXXM13s,Saamna,Saamna,['AKASA'],"['desi pop', 'modern bollywood']",54,20,https://i.scdn.co/image/ab6761610000e5eb626c03003c1be728e15712d3,['AKASA'],"['desi pop', ' modern bollywood']"
2,3tPQOjkxO3mrYrrgkTeXgH,Main Teri Ho Gayi,Main Teri Ho Gayi,['Nikhita Gandhi'],"['desi pop', 'modern bollywood']",68,20,https://i.scdn.co/image/ab6761610000e5eb5328de055afe34eccf1faeba,['Nikhita Gandhi'],"['desi pop', ' modern bollywood']"
3,2sN4fSzAm2rAL0HIurPCEM,Teri Meri Ladayi,Teri Meri Ladayi,"['Maninder Buttar', 'AKASA']","['desi hip hop', 'desi pop', 'punjabi pop']",62,20,https://i.scdn.co/image/ab6761610000e5eb5b4f3fb5524ca3680574e145,"['Maninder Buttar', ' AKASA']","['desi hip hop', ' desi pop', ' punjabi pop']"
4,6WOdPJmexxFINcKMkP2jMG,Maiyya Mainu,Jersey ,['Sachet Tandon'],"['desi pop', 'modern bollywood']",69,20,https://i.scdn.co/image/ab6761610000e5ebb8162865f9d33a22dfac8791,['Sachet Tandon'],"['desi pop', ' modern bollywood']"
5,0BEr6nvOOHQMy53md08n9Y,Akhiyan Udeek Diyan ,Akhiyan Udeek Diyan ,"['Master Saleem', 'Manan Bhardwaj', 'Nusrat Fateh Ali Khan']","['filmi', 'sufi']",47,20,https://i.scdn.co/image/ab67616d0000b273c7b13021bc25bd9aa701ad45,"['Master Saleem', ' Manan Bhardwaj', ' Nusrat Fateh Ali Khan']","['filmi', ' sufi']"
6,1mBydYMVBECdDmMfE2sEUO,Kamli ,Kamli ,"['Sachin-Jigar', 'Jubin Nautiyal', 'Divya Kumar']","['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",69,20,https://i.scdn.co/image/ab6761610000e5eba038d7d87f8577bbb9686bd3,"['Sachin-Jigar', ' Jubin Nautiyal', ' Divya Kumar']","['desi pop', ' filmi', ' gujarati pop', ' modern bollywood']"
7,1wRPtKGflJrBx9BmLsSwlU,Hoye Ishq Na ,Hoye Ishq Na ,"['Pritam', 'B Praak', 'Dino James']","['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",81,20,https://i.scdn.co/image/ab6761610000e5eb9966790d6abff677d3979eb6,"['Pritam', ' B Praak', ' Dino James']","['desi pop', ' filmi', ' indian instrumental', ' modern bollywood']"
8,2P9JaCtpbQSuZOgvtPrUJ8,Jee Ni Karda,Sardar Ka Grandson,"['Jass Manak', 'Nikhita Gandhi', 'Manak-E']","['desi hip hop', 'desi pop']",61,20,https://i.scdn.co/image/ab6761610000e5ebdf0fbf2c21cb196bc4da7569,"['Jass Manak', ' Nikhita Gandhi', ' Manak-E']","['desi hip hop', ' desi pop']"
9,4mRPyvdSBxARQIFeXXM13s,Aithey Aa,Bharat,"['AKASA', 'Neeti Mohan', 'Kamaal Khan']","['desi pop', 'modern bollywood']",54,20,https://i.scdn.co/image/ab6761610000e5eb626c03003c1be728e15712d3,"['AKASA', ' Neeti Mohan', ' Kamaal Khan']","['desi pop', ' modern bollywood']"
10,0cGUyn1Hk4stZda7WqMAbS,Tu Hai Mera,Tu Hai Mera,['Madhuri Dixit'],[],30,20,https://i.scdn.co/image/ab6761610000e5eba335fc5a1f9dae0dcfcb372a,['Madhuri Dixit'],['']
