,id,song,tags,thumbnail
0,1tqysapcCh1lWEAc9dIFpa,dil galti kar baitha hai,"dil galti kar baitha hai,jubin nautiyal, meet bros., shardul rathod,desi pop, filmi, hare krishna, modern bollywood,20,74",https://i.scdn.co/image/ab6761610000e5eb1a9d9cfc59b01338c0786953
1,4mRPyvdSBxARQIFeXXM13s,saamna,"saamna,akasa,desi pop, modern bollywood,20,54",https://i.scdn.co/image/ab6761610000e5eb626c03003c1be728e15712d3
2,3tPQOjkxO3mrYrrgkTeXgH,main teri ho gayi,"main teri ho gayi,nikhita gandhi,desi pop, modern bollywood,20,68",https://i.scdn.co/image/ab6761610000e5eb5328de055afe34eccf1faeba
3,2sN4fSzAm2rAL0HIurPCEM,teri meri ladayi,"teri meri ladayi,maninder buttar, akasa,desi hip hop, desi pop, punjabi pop,20,62",https://i.scdn.co/image/ab6761610000e5eb5b4f3fb5524ca3680574e145
4,6WOdPJmexxFINcKMkP2jMG,maiyya mainu,"jersey ,sachet tandon,desi pop, modern bollywood,20,69",https://i.scdn.co/image/ab6761610000e5ebb8162865f9d33a22dfac8791
5,0BEr6nvOOHQMy53md08n9Y,akhiyan udeek diyan,"akhiyan udeek diyan ,master saleem, manan bhardwaj, nusrat fateh ali khan,filmi, sufi,20,47",https://i.scdn.co/image/ab67616d0000b273c7b13021bc25bd9aa701ad45
6,1mBydYMVBECdDmMfE2sEUO,kamli,"kamli ,sachin-jigar, jubin nautiyal, divya kumar,desi pop, filmi, gujarati pop, modern bollywood,20,69",https://i.scdn.co/image/ab6761610000e5eba038d7d87f8577bbb9686bd3
7,1wRPtKGflJrBx9BmLsSwlU,hoye ishq na,"hoye ishq na ,pritam, b praak, dino james,desi pop, filmi, indian instrumental, modern bollywood,20,81",https://i.scdn.co/image/ab6761610000e5eb9966790d6abff677d3979eb6
8,2P9JaCtpbQSuZOgvtPrUJ8,jee ni karda,"sardar ka grandson,jass manak, nikhita gandhi, manak-e,desi hip hop, desi pop,20,61",https://i.scdn.co/image/ab6761610000e5ebdf0fbf2c21cb196bc4da7569
9,4mRPyvdSBxARQIFeXXM13s,aithey aa,"bharat,akasa, neeti mohan, kamaal khan,desi pop, modern bollywood,20,54",https://i.scdn.co/image/ab6761610000e5eb626c03003c1be728e15712d3
10,0cGUyn1Hk4stZda7WqMAbS,tu hai mera,"tu hai mera,madhuri dixit,,20,30",https://i.scdn.co/image/ab6761610000e5eba335fc5a1f9dae0dcfcb372a
11,3bAFvRjPZrpRz9Ox1sElQa,bura sapna,"bura sapna ,arjun kanungo,desi hip hop, desi pop, modern bollywood,20,59",https://i.scdn.co/image/ab6761610000e5eb1069db80f40bc1a0757dbb4a
12,7rBwaIDcUlqgIt19pYfDp5,zindagi hai abhi,"zindagi hai abhi,nikitaa, amaal mallik,,20,25",https://i.scdn.co/image/ab6761610000e5ebb91f0e18859a80d6024d63da
13,70xD1uUunQ1B0UloBVdlO1,bad boy,"bad boy,bass mafia, jyotica tangri,,20,22",https://i.scdn.co/image/ab6761610000e5ebccd188c4009a96c390f67f48
